[07-24 11:32:39,913, 2608] main.Main Starting at http://127.0.0.1:8080
[07-24 11:32:40,282, 2977] org.hibernate.Version HHH000412: Hibernate Core {5.2.5.Final}
[07-24 11:32:40,289, 2984] org.hibernate.cfg.Environment HHH000206: hibernate.properties not found
[07-24 11:32:40,438, 3133] org.hibernate.annotations.common.Version HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[07-24 11:32:40,773, 3468] org.hibernate.orm.connections.pooling HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[07-24 11:32:40,788, 3483] org.hibernate.orm.connections.pooling HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:./h2db]
[07-24 11:32:40,790, 3485] org.hibernate.orm.connections.pooling HHH10001001: Connection properties: {password=****, user=test}
[07-24 11:32:40,791, 3486] org.hibernate.orm.connections.pooling HHH10001003: Autocommit mode: false
[07-24 11:32:40,804, 3499] org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl HHH000115: Hibernate connection pool size: 20 (min=1)
[07-24 11:32:41,505, 4200] org.hibernate.dialect.Dialect HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[07-24 11:32:42,733, 5428] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@760cf594] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 11:32:42,754, 5449] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7a0f244f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 11:32:42,771, 5466] org.hibernate.tool.schema.internal.SchemaCreatorImpl HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@53a665ad'
[07-24 11:32:43,331, 6026] main.Main Server started
