[07-23 23:46:18,725, 3112] main.Main Starting at http://127.0.0.1:8080
[07-23 23:46:19,331, 3718] org.hibernate.Version HHH000412: Hibernate Core {5.2.5.Final}
[07-23 23:46:19,334, 3721] org.hibernate.cfg.Environment HHH000206: hibernate.properties not found
[07-23 23:46:19,420, 3807] org.hibernate.annotations.common.Version HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[07-23 23:46:19,634, 4021] org.hibernate.orm.connections.pooling HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[07-23 23:46:19,641, 4028] org.hibernate.orm.connections.pooling HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:./h2db]
[07-23 23:46:19,642, 4029] org.hibernate.orm.connections.pooling HHH10001001: Connection properties: {password=****, user=test}
[07-23 23:46:19,642, 4029] org.hibernate.orm.connections.pooling HHH10001003: Autocommit mode: false
[07-23 23:46:19,646, 4033] org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl HHH000115: Hibernate connection pool size: 20 (min=1)
[07-23 23:46:20,300, 4687] org.hibernate.dialect.Dialect HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[07-23 23:46:22,008, 6395] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@71d8cfe7] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-23 23:46:22,048, 6435] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@10895b16] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-23 23:46:22,063, 6450] org.hibernate.tool.schema.internal.SchemaCreatorImpl HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@706eab5d'
[07-23 23:46:22,846, 7233] main.Main Server started
[07-23 23:47:46,444, 90831] servlets.SignUpServlet Connected user name: qwe
[07-23 23:47:46,632, 91019] org.hibernate.hql.internal.QueryTranslatorFactoryInitiator HHH000397: Using ASTQueryTranslatorFactory
[07-23 23:47:47,201, 91588] servlets.SignUpServlet User: qwe success!
