[07-24 00:25:10,990, 2080] main.Main Starting at http://127.0.0.1:8080
[07-24 00:25:11,289, 2379] org.hibernate.Version HHH000412: Hibernate Core {5.2.5.Final}
[07-24 00:25:11,298, 2388] org.hibernate.cfg.Environment HHH000206: hibernate.properties not found
[07-24 00:25:11,394, 2484] org.hibernate.annotations.common.Version HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[07-24 00:25:11,645, 2735] org.hibernate.orm.connections.pooling HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[07-24 00:25:11,658, 2748] org.hibernate.orm.connections.pooling HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:./h2db]
[07-24 00:25:11,659, 2749] org.hibernate.orm.connections.pooling HHH10001001: Connection properties: {password=****, user=test}
[07-24 00:25:11,659, 2749] org.hibernate.orm.connections.pooling HHH10001003: Autocommit mode: false
[07-24 00:25:11,664, 2754] org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl HHH000115: Hibernate connection pool size: 20 (min=1)
[07-24 00:25:12,572, 3662] org.hibernate.dialect.Dialect HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[07-24 00:25:13,841, 4931] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@760cf594] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 00:25:13,867, 4957] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7be7e15] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 00:25:13,882, 4972] org.hibernate.tool.schema.internal.SchemaCreatorImpl HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@249e0271'
