[07-24 12:16:30,820, 2041] main.Main Starting at http://127.0.0.1:8080
[07-24 12:16:31,128, 2349] org.hibernate.Version HHH000412: Hibernate Core {5.2.5.Final}
[07-24 12:16:31,131, 2352] org.hibernate.cfg.Environment HHH000206: hibernate.properties not found
[07-24 12:16:31,246, 2467] org.hibernate.annotations.common.Version HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[07-24 12:16:31,511, 2732] org.hibernate.orm.connections.pooling HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[07-24 12:16:31,520, 2741] org.hibernate.orm.connections.pooling HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:./h2db]
[07-24 12:16:31,522, 2743] org.hibernate.orm.connections.pooling HHH10001001: Connection properties: {password=****, user=test}
[07-24 12:16:31,523, 2744] org.hibernate.orm.connections.pooling HHH10001003: Autocommit mode: false
[07-24 12:16:31,533, 2754] org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl HHH000115: Hibernate connection pool size: 20 (min=1)
[07-24 12:16:32,306, 3527] org.hibernate.dialect.Dialect HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[07-24 12:16:33,578, 4799] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@37303f12] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 12:16:33,612, 4833] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@4248b963] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 12:16:33,678, 4899] org.hibernate.tool.schema.internal.SchemaCreatorImpl HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@78525ef9'
[07-24 12:16:34,323, 5544] main.Main Server started
