[07-24 11:37:40,980, 3038] main.Main Starting at http://127.0.0.1:8080
[07-24 11:37:41,461, 3519] org.hibernate.Version HHH000412: Hibernate Core {5.2.5.Final}
[07-24 11:37:41,463, 3521] org.hibernate.cfg.Environment HHH000206: hibernate.properties not found
[07-24 11:37:41,604, 3662] org.hibernate.annotations.common.Version HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[07-24 11:37:41,882, 3940] org.hibernate.orm.connections.pooling HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[07-24 11:37:41,887, 3945] org.hibernate.orm.connections.pooling HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:./h2db]
[07-24 11:37:41,888, 3946] org.hibernate.orm.connections.pooling HHH10001001: Connection properties: {password=****, user=test}
[07-24 11:37:41,888, 3946] org.hibernate.orm.connections.pooling HHH10001003: Autocommit mode: false
[07-24 11:37:41,900, 3958] org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl HHH000115: Hibernate connection pool size: 20 (min=1)
[07-24 11:37:42,599, 4657] org.hibernate.dialect.Dialect HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[07-24 11:37:44,152, 6210] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@37303f12] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 11:37:44,192, 6250] org.hibernate.orm.connections.access HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@4248b963] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
[07-24 11:37:44,212, 6270] org.hibernate.tool.schema.internal.SchemaCreatorImpl HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@78525ef9'
[07-24 11:37:45,203, 7261] main.Main Server started
[07-24 11:38:04,840, 26898] servlets.SignUpServlet Connected user name: qwe
[07-24 11:38:05,355, 27413] org.hibernate.hql.internal.QueryTranslatorFactoryInitiator HHH000397: Using ASTQueryTranslatorFactory
[07-24 11:38:05,750, 27808] servlets.SignUpServlet User: qwe success!
